lambda;Return;Risk;E[x,lambda];Stocks;Investment;Pareto
0.01;0.002011678247539047;9.472287786676338e-5;-0.0019906142362849885;[27 2 76 53 61];[0.28088219038523415, 0.1, 0.2822842279981609, 0.23683358161660495, 0.1];true
0.01;0.0023258529419461034;0.00011336561800232333;-0.0023014607563466194;[4 53 85 40 59];[0.3421378261174027, 0.1, 0.17443108281068614, 0.2834310910719112, 0.1];true
0.01;0.0029073263684983052;0.00012244539275773627;-0.0028770286508857444;[85 27 57 66 40];[0.3320381873570472, 0.1, 0.3679618126429528, 0.1, 0.1];true
0.01;0.002312099923769656;0.00010082378118371019;-0.0022879706867201225;[89 61 96 40 4];[0.2640589223126606, 0.1711502763124743, 0.2698963131309046, 0.1456503378661268, 0.14924415037783367];true
0.01;0.0027184658445403207;0.00010728534740325765;-0.0026902083326208848;[85 4 66 4 4];[0.3104689178323802, 0.1, 0.1, 0.274445004621621, 0.21508607754599873];true
0.01;0.0023659602886196966;9.90209665066738e-5;-0.002341310476068433;[40 61 4 85 66];[0.25730943867533407, 0.17396045372871463, 0.14627271623974222, 0.18878485641368162, 0.23367253494252752];true
0.01;0.0026207179450824657;0.0001106197247536143;-0.0025934045683841046;[66 40 4 85 9];[0.29930538431732134, 0.33368137532459297, 0.1, 0.1, 0.16701324035808573];true
0.01;0.0021452374665316912;0.00013466627315310127;-0.0021224384291348435;[84 66 98 96 66];[0.2333047815695151, 0.229876940803495, 0.24885578834695957, 0.1879624892800304, 0.1];true
0.01;0.003355725197411669;0.0001590804381058341;-0.003320577141056494;[27 96 61 4 85];[0.364951081828349, 0.1, 0.1, 0.1, 0.33504891817165106];true
0.01;0.0025182695661942773;9.879623529126033e-5;-0.0024920989081794217;[27 89 89 3 98];[0.28760502126476445, 0.28322168157816563, 0.1722554166666511, 0.1, 0.1569178804904188];true
0.01;0.0026095139350381376;0.00014794484631694337;-0.002581939347224587;[98 27 89 85 4];[0.2837970565566218, 0.15273199497146822, 0.16875280011413563, 0.1, 0.2947181483577743];true
0.01;0.002084481931451687;0.00010875335305709716;-0.002062549578606599;[98 4 59 40 61];[0.2431166236822588, 0.12261876318510251, 0.1963051128161694, 0.2729553068196356, 0.1650041934968338];true
0.01;0.002228263104252469;0.0001452917762538255;-0.002204527555447406;[84 66 4 85 98];[0.24233421470934952, 0.22253824271947986, 0.24251078207327953, 0.1, 0.19261676049789106];true
0.01;0.003302368642441976;0.00012491851508025404;-0.003268095770866753;[4 59 59 85 40];[0.3591483026038038, 0.25762426211810185, 0.1, 0.18322743527809443, 0.1];true
0.01;0.002439616278332345;0.000105086365954593;-0.0024141692518894753;[40 98 84 40 40];[0.2653198780133056, 0.2107952219325901, 0.1, 0.21903611566631145, 0.20484878438779297];true
0.01;0.0023108040865068113;0.00013365113146382703;-0.0022863595343271047;[98 40 3 4 40];[0.2695129562055996, 0.16093925421494487, 0.23713169758190822, 0.23241609199754729, 0.1];true
0.01;0.002310495818145452;0.00012375010339574235;-0.00228615335893004;[3 98 98 98 4];[0.25127741361016337, 0.2521077262530681, 0.2222726791750314, 0.1, 0.17434218096173715];true
0.01;0.0021949090568685677;0.00012812817782612088;-0.002171678684521621;[3 98 3 89 98];[0.2559959245239757, 0.3027849754138961, 0.24121910006212816, 0.1, 0.1];true
0.01;0.0022100030292229603;0.00011294338973308015;-0.0021867735650333998;[3 85 98 98 4];[0.24034834466807614, 0.1851160249818421, 0.20216683125091103, 0.2723687990991708, 0.1];true
0.01;0.0023913415659107535;0.00015208795288643065;-0.002365907270722782;[3 85 4 85 40];[0.27890617750300367, 0.24465003749516182, 0.1, 0.16798724107766383, 0.20845654392417068];true
0.01;0.0022360557573513303;0.00011999609026182348;-0.002212495238875199;[98 98 3 40 40];[0.25537411573222135, 0.2743419412374753, 0.15466432682334963, 0.12369485458455676, 0.19192476162239694];true
0.01;0.002011678247539047;9.472287786676338e-5;-0.0019906142362849885;[27 2 76 53 61];[0.28088219038523415, 0.1, 0.2822842279981609, 0.23683358161660495, 0.1];false
0.01;0.0023258529419461034;0.00011336561800232333;-0.0023014607563466194;[4 53 85 40 59];[0.3421378261174027, 0.1, 0.17443108281068614, 0.2834310910719112, 0.1];false
0.01;0.0029073263684983052;0.00012244539275773627;-0.0028770286508857444;[85 27 57 66 40];[0.3320381873570472, 0.1, 0.3679618126429528, 0.1, 0.1];false
0.01;0.002312099923769656;0.00010082378118371019;-0.0022879706867201225;[89 61 96 40 4];[0.2640589223126606, 0.1711502763124743, 0.2698963131309046, 0.1456503378661268, 0.14924415037783367];false
0.01;0.0027184658445403207;0.00010728534740325765;-0.0026902083326208848;[85 4 66 4 4];[0.3104689178323802, 0.1, 0.1, 0.274445004621621, 0.21508607754599873];false
0.01;0.0023659602886196966;9.90209665066738e-5;-0.002341310476068433;[40 61 4 85 66];[0.25730943867533407, 0.17396045372871463, 0.14627271623974222, 0.18878485641368162, 0.23367253494252752];false
0.01;0.0026207179450824657;0.0001106197247536143;-0.0025934045683841046;[66 40 4 85 9];[0.29930538431732134, 0.33368137532459297, 0.1, 0.1, 0.16701324035808573];false
0.01;0.0021452374665316912;0.00013466627315310127;-0.0021224384291348435;[84 66 98 96 66];[0.2333047815695151, 0.229876940803495, 0.24885578834695957, 0.1879624892800304, 0.1];false
0.01;0.003355725197411669;0.0001590804381058341;-0.003320577141056494;[27 96 61 4 85];[0.364951081828349, 0.1, 0.1, 0.1, 0.33504891817165106];false
0.01;0.0025182695661942773;9.879623529126033e-5;-0.0024920989081794217;[27 89 89 3 98];[0.28760502126476445, 0.28322168157816563, 0.1722554166666511, 0.1, 0.1569178804904188];false
0.01;0.0026095139350381376;0.00014794484631694337;-0.002581939347224587;[98 27 89 85 4];[0.2837970565566218, 0.15273199497146822, 0.16875280011413563, 0.1, 0.2947181483577743];false
0.01;0.002084481931451687;0.00010875335305709716;-0.002062549578606599;[98 4 59 40 61];[0.2431166236822588, 0.12261876318510251, 0.1963051128161694, 0.2729553068196356, 0.1650041934968338];false
0.01;0.002228263104252469;0.0001452917762538255;-0.002204527555447406;[84 66 4 85 98];[0.24233421470934952, 0.22253824271947986, 0.24251078207327953, 0.1, 0.19261676049789106];false
0.01;0.003302368642441976;0.00012491851508025404;-0.003268095770866753;[4 59 59 85 40];[0.3591483026038038, 0.25762426211810185, 0.1, 0.18322743527809443, 0.1];false
0.01;0.002439616278332345;0.000105086365954593;-0.0024141692518894753;[40 98 84 40 40];[0.2653198780133056, 0.2107952219325901, 0.1, 0.21903611566631145, 0.20484878438779297];false
0.01;0.0023108040865068113;0.00013365113146382703;-0.0022863595343271047;[98 40 3 4 40];[0.2695129562055996, 0.16093925421494487, 0.23713169758190822, 0.23241609199754729, 0.1];false
0.01;0.002310495818145452;0.00012375010339574235;-0.00228615335893004;[3 98 98 98 4];[0.25127741361016337, 0.2521077262530681, 0.2222726791750314, 0.1, 0.17434218096173715];false
0.01;0.0021949090568685677;0.00012812817782612088;-0.002171678684521621;[3 98 3 89 98];[0.2559959245239757, 0.3027849754138961, 0.24121910006212816, 0.1, 0.1];false
0.01;0.0022100030292229603;0.00011294338973308015;-0.0021867735650333998;[3 85 98 98 4];[0.24034834466807614, 0.1851160249818421, 0.20216683125091103, 0.2723687990991708, 0.1];false
0.01;0.0023913415659107535;0.00015208795288643065;-0.002365907270722782;[3 85 4 85 40];[0.27890617750300367, 0.24465003749516182, 0.1, 0.16798724107766383, 0.20845654392417068];false
0.01;0.0022360557573513303;0.00011999609026182348;-0.002212495238875199;[98 98 3 40 40];[0.25537411573222135, 0.2743419412374753, 0.15466432682334963, 0.12369485458455676, 0.19192476162239694];false
0.0199009900990099;0.002737891554126445;0.00011822239636893426;-0.002681052058675992;[10 66 7 96 69];[0.319324883849597, 0.1, 0.22500063813346685, 0.18392325730279008, 0.17175122071414617];true
0.0199009900990099;0.0023109422589856032;0.00013077751635770892;-0.0022623496179119394;[7 20 56 31 69];[0.3560225325813593, 0.1, 0.23804386052982995, 0.20593360688881074, 0.1];true
0.0199009900990099;0.002684465757480113;9.273533534992483e-5;-0.0026291967060287427;[54 66 7 66 66];[0.2919484238695066, 0.1, 0.1, 0.18632090971284596, 0.32173066641764747];false
0.0199009900990099;0.0037017402679163343;0.0001796735759932018;-0.0036244962894385305;[31 66 56 69 69];[0.4317401758708111, 0.210393027923793, 0.10404272854746273, 0.10352527720161016, 0.15029879045632294];true
0.0199009900990099;0.002083004507812859;0.00011078290606625337;-0.002039345966209918;[56 66 62 62 56];[0.22653665120313854, 0.1, 0.15585883873997522, 0.20114820077143408, 0.3164563092854522];true
