lambda;Return;Risk;E[x,lambda];Stocks;Investment;Pareto
0.01;0.009918740120713568;0.0019474175986137685;-0.009800078543520295;[8 23 8 8 8];[0.18349385269547352, 0.1874524325052362, 0.23041302370063663, 0.19136305198064718, 0.2072776391180065];false
0.01;0.009366091057618254;0.0018092494422970629;-0.0092543376526191;[19 8 23 8 8];[0.1, 0.3253639823132667, 0.26509571796846576, 0.1, 0.20954029971826754];false
0.01;0.009892401206155983;0.001875654673007655;-0.009774720647364347;[8 8 19 8 8];[0.213415851321884, 0.20466094809712415, 0.19267012556339444, 0.1, 0.2892530750175974];false
0.01;0.008406081081350303;0.001792898048308452;-0.008304091290053715;[23 8 8 19 8];[0.378901621693414, 0.1, 0.17535958871061752, 0.1, 0.24573878959596854];true
0.01;0.008719994684471584;0.001791466380904679;-0.008614880073817822;[8 19 23 8 8];[0.2548228405285336, 0.23222306979251378, 0.17460837537530194, 0.1, 0.2383457143036507];false
0.01;0.008076660856926262;0.0014994766648273865;-0.007980899481708726;[19 8 13 8 23];[0.1801957784239757, 0.17910072807827362, 0.23797090815695296, 0.24685519931832486, 0.15587738602247278];false
0.01;0.008521193580324542;0.0017861421212578734;-0.008418120223308718;[8 23 27 8 8];[0.1, 0.2306293935854166, 0.2055768945723543, 0.18785539291681755, 0.27593831892541154];false
0.01;0.008732722946680009;0.00176921221521408;-0.008627703595061069;[19 8 8 23 8];[0.24244524495619016, 0.12755447748414808, 0.18642192960148518, 0.2422954407159822, 0.20128290724219444];false
0.01;0.009234516509401476;0.0018769712947760238;-0.0091234016313597;[23 23 8 8 23];[0.19661085798577027, 0.1, 0.20419658250453993, 0.23059901498840005, 0.2685935445212898];false
0.01;0.008580747263138634;0.001800362386458485;-0.008476936166642664;[23 8 8 19 23];[0.2525118897007058, 0.1, 0.27821963883941486, 0.1, 0.2692684714598793];false
0.01;0.008862399933625758;0.002039117653642485;-0.008753384757753077;[23 19 19 8 19];[0.2766621899190018, 0.26566646092548435, 0.1, 0.19118796635855495, 0.16648338279695898];false
0.01;0.008076114013976218;0.0015200919805940724;-0.007980151954030514;[8 23 13 8 23];[0.19316822011602852, 0.2656567571810693, 0.2514801802063318, 0.18969484249657048, 0.1];false
0.01;0.008098833676596447;0.0015398461508016165;-0.008002446878322467;[8 13 19 19 13];[0.25190762050344323, 0.23103623060622586, 0.1, 0.22696333629790738, 0.19009281259242358];false
0.01;0.008406081081350303;0.001792898048308452;-0.008304091290053715;[23 8 8 19 8];[0.378901621693414, 0.1, 0.17535958871061752, 0.1, 0.24573878959596854];false
0.01;0.007799257507597055;0.0014702518553480206;-0.007706562413967604;[8 13 23 27 23];[0.2709402687726684, 0.26627472347970516, 0.1, 0.1, 0.2627850077476264];false
0.01;0.007799257507597055;0.0014702518553480206;-0.007706562413967604;[8 13 23 27 23];[0.2709402687726684, 0.26627472347970516, 0.1, 0.1, 0.2627850077476264];true
0.0199009900990099;0.009026904416756581;0.0022515061441498127;-0.008802452879851414;[19 8 13 19 19];[0.3937272914876522, 0.22828856277928883, 0.1, 0.1, 0.17798414573305904];false
0.0199009900990099;0.00925816476818698;0.001960239647263206;-0.009034907412988418;[27 27 8 19 27];[0.2573976769960825, 0.1601183948041834, 0.1, 0.24402441200733346, 0.2384595161924006];false
0.0199009900990099;0.008055552008233258;0.0015204062871285121;-0.007864980957008732;[13 5 8 27 8];[0.1846265326841281, 0.1, 0.1, 0.28940917145956924, 0.32596429585630265];false
0.0199009900990099;0.00826468116959728;0.0016241197738070395;-0.008067884239931511;[19 13 27 8 8];[0.3190431609437032, 0.16775098590804927, 0.1, 0.19652385382079973, 0.21668199932744775];false
0.0199009900990099;0.009072566776319044;0.0016839415145160185;-0.008858501611323217;[8 13 19 8 8];[0.19971380154835755, 0.12071589563208623, 0.2654018651070982, 0.20182408034458293, 0.2123443573678751];false
0.0199009900990099;0.009078415102889575;0.0017157046914707211;-0.008863601431734484;[8 19 8 13 8];[0.21057430098447535, 0.2796325073515108, 0.2304711425081028, 0.1, 0.1793220491559111];false
0.0199009900990099;0.010055308951303892;0.0018758232515714245;-0.009817867607464491;[27 8 8 8 8];[0.21591761298562853, 0.2029851869792593, 0.27358799373076087, 0.19848096383604175, 0.10902824246830953];false
0.0199009900990099;0.008410794848452538;0.001550942119016745;-0.00821254641969399;[8 13 27 19 27];[0.19243457432800823, 0.23396057012430113, 0.2721636909902613, 0.1, 0.20144116455742944];false
0.0199009900990099;0.00859561991230483;0.001572937340454338;-0.008393255555096454;[19 27 13 13 19];[0.18818146864693766, 0.1577158945803288, 0.17304676799078525, 0.3368392623458951, 0.1442166064360532];false
0.0199009900990099;0.009070444863194372;0.0021775233475306416;-0.008846599159198755;[19 27 8 19 19];[0.1, 0.18837036385259687, 0.22497641068739183, 0.2598543663720626, 0.22679885908794875];false
0.0199009900990099;0.009299310699715296;0.002293141689663775;-0.009068609419491018;[19 19 8 27 19];[0.321843493264984, 0.19525269332576142, 0.1, 0.28290381340925463, 0.1];false
0.0199009900990099;0.008312862698934168;0.0014423620544103159;-0.008118724067704242;[13 13 8 27 27];[0.24646022482343588, 0.12344593513475124, 0.23078232987770034, 0.14608526950858275, 0.2532262406555299];false
0.0199009900990099;0.008431091313433713;0.0013756032781643618;-0.008235928381462306;[8 27 13 13 8];[0.19096577536275597, 0.1, 0.18912099727878406, 0.3030127811351845, 0.21690044622327548];false
0.0199009900990099;0.00838977726620381;0.001757677441450354;-0.008187832870536633;[27 27 8 19 8];[0.18749952356673585, 0.24620130374206478, 0.1, 0.16815464171715272, 0.29814453097404664];true
0.0199009900990099;0.008153645903498255;0.001524467018772402;-0.007961041874055047;[13 27 8 19 8];[0.23485000409049506, 0.1, 0.25991500112456634, 0.23952125965695942, 0.1657137351279792];false
0.0199009900990099;0.009128928778870768;0.002256433708756614;-0.008902348792730856;[8 19 27 19 19];[0.16111473269736576, 0.1, 0.22422562866761292, 0.252675265757935, 0.2619843728770863];false
0.0199009900990099;0.0099852;0.002686533884047087;-0.00973301994943629;[19 27 8 19 19];[0.3150189068286838, 0.1, 0.1, 0.1, 0.38498109317131624];false
0.0199009900990099;0.009410710804511665;0.002262778075898801;-0.009178396817881714;[19 19 27 8 19];[0.2707811781161914, 0.1, 0.1, 0.2531971187968888, 0.27602170308691976];false
0.0199009900990099;0.00838977726620381;0.001757677441450354;-0.008187832870536633;[27 27 8 19 8];[0.18749952356673585, 0.24620130374206478, 0.1, 0.16815464171715272, 0.29814453097404664];false
0.0298019801980198;0.007614306263487844;0.001164147704945567;-0.007352690952151362;[7 15 19 15 2];[0.1, 0.31349218850217975, 0.1, 0.1, 0.3865078114978202];false
